code,pop,name,perc,logperc
48467,52427,"Van Zandt County, TX",0.00016701068865858948,-8.697452743652034
48469,89269,"Victoria County, TX",0.000284374027998238,-8.165220186293075
48471,68408,"Walker County, TX",0.0002179195298177807,-8.431384692596401
48473,44357,"Waller County, TX",0.00014130301403530724,-8.864603937748939
48475,10879,"Ward County, TX",3.465598416687575e-05,-10.27004014401111
48477,34093,"Washington County, TX",0.00010860616492336565,-9.127782384825494
48479,259172,"Webb County, TX",0.0008256145535892565,-7.099382535498382
48481,41285,"Wharton County, TX",0.00013151689551700203,-8.936375231580664
48483,5626,"Wheeler County, TX",1.7922103770828473e-05,-10.929475759382392
48485,131559,"Wichita County, TX",0.0004190924368976934,-7.777419049252646
48487,13258,"Wilbarger County, TX",4.223449196474296e-05,-10.072273325630857
48489,22058,"Willacy County, TX",7.026764397030473e-05,-9.5631991215661
48491,456232,"Williamson County, TX",0.0014533660233865297,-6.533873017386402
48493,44370,"Wilson County, TX",0.00014134442664622454,-8.864310904059238
48495,7330,"Winkler County, TX",2.335034138645089e-05,-10.664898953551496
48497,60432,"Wise County, TX",0.00019251130022728514,-8.555355703479956
48499,42022,"Wood County, TX",0.00013386467199746785,-8.9186811787832
48501,8075,"Yoakum County, TX",2.5723602550558108e-05,-10.568101600341336
48503,18339,"Young County, TX",5.842045166249971e-05,-9.747844529735358
48505,14290,"Zapata County, TX",4.552201615448611e-05,-9.99731447750828
48507,11961,"Zavala County, TX",3.810278762937778e-05,-10.175223112382728
49000,2855287,UTAH,0.009095760737557326,-4.6999468270182385
49001,6501,"Beaver County, UT",2.0709491044108764e-05,-10.784918458227724
49003,50171,"Box Elder County, UT",0.0001598240078717091,-8.741437298922122
49005,115520,"Cache County, UT",0.0003679988317821019,-7.90743079430554
49007,21246,"Carbon County, UT",6.768094858070063e-05,-9.600705827092234
49009,1090,"Daggett County, UT",3.4722881461434473e-06,-12.570696773209004
49011,315809,"Davis County, UT",0.001006036557014143,-6.901736868984573
49013,19244,"Duchesne County, UT",6.130340649943533e-05,-9.699675145612849
49015,10933,"Emery County, UT",3.482800578145533e-05,-10.265088730997709
49017,5095,"Garfield County, UT",1.6230557894129235e-05,-11.028614802775367
49019,9328,"Grand County, UT",2.9715141125895484e-05,-10.42385383984192
49021,46750,"Iron County, UT",0.00014892612002954695,-8.81206021371536
49023,10341,"Juab County, UT",3.294213919199027e-05,-10.320757893247217
49025,7221,"Kane County, UT",2.3003112571836543e-05,-10.67988102198101
49027,12569,"Millard County, UT",4.003962358612568e-05,-10.125641004507356
49029,9821,"Morgan County, UT",3.128563475529798e-05,-10.37235151927442
49031,1524,"Piute County, UT",4.854832233690472e-06,-12.235536012185602
49033,2267,"Rich County, UT",7.221722226887335e-06,-11.838417097924664
49035,1063842,"Salt Lake County, UT",0.003388959601806915,-5.6872323068157264
49037,14965,"San Juan County, UT",4.767228633673091e-05,-9.951160328145393
49039,27906,"Sanpete County, UT",8.889694771218261e-05,-9.328032749980041
49041,20784,"Sevier County, UT",6.620920810040864e-05,-9.622691009521812
49043,38003,"Summit County, UT",0.00012106180405310957,-9.01920936547143
49045,59870,"Tooele County, UT",0.00019072100120147542,-8.564698924512795
49047,34524,"Uintah County, UT",0.00010997915225454713,-9.115219735092644
49049,540504,"Utah County, UT",0.0017218216808652458,-6.364372431843135
49051,25273,"Wasatch County, UT",8.050930120870031e-05,-9.42713783724911
49053,144809,"Washington County, UT",0.00046130144417879493,-7.681458836733831
49055,2737,"Wayne County, UT",8.718947390820748e-06,-11.650012039391514
49057,236640,"Weber County, UT",0.0007538369421131976,-7.190334470487566
50000,626011,VERMONT,0.0019942115363811063,-6.217506526619357
50001,36745,"Addison County, VT",0.00011705433755049631,-9.05287230746922
50003,36697,"Bennington County, VT",0.00011690142944864778,-9.054179461599954
50005,31121,"Caledonia County, VT",9.91386049505782e-05,-9.218991636980048
50007,158504,"Chittenden County, VT",0.0005049280369874504,-7.591094639858098
50009,6226,"Essex County, VT",1.9833455043934958e-05,-10.828140397430639
50011,48214,"Franklin County, VT",0.00015358981713592678,-8.78122503413627
50013,6983,"Grand Isle County, VT",2.2244943233504305e-05,-10.713395845586158
50015,24958,"Lamoille County, VT",7.950584179031941e-05,-9.439680057364393
50017,28924,"Orange County, VT",9.213987370555328e-05,-9.29220276913735
50019,27109,"Orleans County, VT",8.635803610440616e-05,-9.35700869337747
50021,60869,"Rutland County, VT",0.0001939034010711977,-8.548150455533253
50023,59465,"Washington County, VT",0.00018943083909212852,-8.571486565270847
50025,43985,"Windham County, VT",0.00014011797624598123,-8.873025802745419
50027,56211,"Windsor County, VT",0.00017906494402098103,-8.627762002165571
51000,8185867,VIRGINIA,0.02607677885321727,-3.6467100597811006
51001,33341,"Accomack County, VA",0.00010621060466107219,-9.150086598576019
51003,102251,"Albemarle County, VA",0.000325729298377352,-8.029443894623867
51005,16230,"Alleghany County, VA",5.1702051937530415e-05,-9.870013087923557
51007,12759,"Amelia County, VA",4.06448848226094e-05,-10.11063756451045
51009,32384,"Amherst County, VA",0.00010316199938046734,-9.179209995785056
51011,15128,"Appomattox County, VA",4.819153676592484e-05,-9.940327138093899
51013,221045,"Arlington County, VA",0.0007041577369397049,-7.258508168750521
